lon,lat,depth,strike,dip,id,alen,blen,clen,slen,dlen
287.6,-18.2,13.3217926025,310.590820312,10.9600629807,28760182.0,100.0,20.0,100.0,20.0,20.0
287.8,-18.2,16.2666301727,311.589385986,13.0072860718,28780182.0,100.0,20.0,100.0,20.0,20.0
288.0,-18.2,19.8147792816,312.764648438,15.0732908249,28800182.0,100.0,20.0,100.0,20.0,20.0
285.2,-18.0,4.61656451613,310.0002,0.0,28520180.0,100.0,20.0,100.0,20.0,20.0
285.4,-18.0,4.66199479167,310.5192,0.0,28540180.0,100.0,20.0,100.0,20.0,20.0
285.6,-18.0,4.68710187668,311.0382,0.0,28560180.0,100.0,20.0,100.0,20.0,20.0
285.8,-18.0,4.71257549858,309.6266,0.0,28580180.0,100.0,20.0,100.0,20.0,20.0
286.0,-18.0,4.74865060241,308.215,0.0,28600180.0,100.0,20.0,100.0,20.0,20.0
286.2,-18.0,4.77832119205,306.8034,0.0,28620180.0,100.0,20.0,100.0,20.0,20.0
286.4,-18.0,4.81354379562,305.3917,0.0,28640180.0,100.0,20.0,100.0,20.0,20.0
286.6,-18.0,4.86320576132,306.2597,0.0,28660180.0,100.0,20.0,100.0,20.0,20.0
286.8,-18.0,4.9144784689,306.6938,0.0,28680180.0,100.0,20.0,100.0,20.0,20.0
287.0,-18.0,9.53339767456,308.061218262,8.18353557587,28700180.0,100.0,20.0,100.0,20.0,20.0
287.2,-18.0,11.5973863602,308.017272949,9.88238716125,28720180.0,100.0,20.0,100.0,20.0,20.0
287.4,-18.0,14.0965070724,308.189361572,11.8425378799,28740180.0,100.0,20.0,100.0,20.0,20.0
287.6,-18.0,17.0989837646,308.596099854,13.9261198044,28760180.0,100.0,20.0,100.0,20.0,20.0
287.8,-18.0,20.6495113373,309.205780029,16.0000152588,28780180.0,100.0,20.0,100.0,20.0,20.0
288.0,-18.0,24.7698669434,310.001403809,17.9674835205,28800180.0,100.0,20.0,100.0,20.0,20.0
285.0,-17.8,4.62089033943,308.4432,0.0,28500178.0,100.0,20.0,100.0,20.0,20.0
285.2,-17.8,4.68576578947,309.4812,0.0,28520178.0,100.0,20.0,100.0,20.0,20.0
285.4,-17.8,4.7159541779,310.0002,0.0,28540178.0,100.0,20.0,100.0,20.0,20.0
285.6,-17.8,4.73369164265,311.0382,0.0,28560178.0,100.0,20.0,100.0,20.0,20.0
285.8,-17.8,4.75962928349,311.0382,0.0,28580178.0,100.0,20.0,100.0,20.0,20.0
286.0,-17.8,4.78513804714,309.6266,0.0,28600178.0,100.0,20.0,100.0,20.0,20.0
286.2,-17.8,4.81835632184,308.215,0.0,28620178.0,100.0,20.0,100.0,20.0,20.0
286.4,-17.8,4.85382832618,306.8034,0.0,28640178.0,100.0,20.0,100.0,20.0,20.0
286.6,-17.8,4.9118960396,305.3917,0.0,28660178.0,100.0,20.0,100.0,20.0,20.0
286.8,-17.8,10.2294158936,307.554412842,8.91351127625,28680178.0,100.0,20.0,100.0,20.0,20.0
287.0,-17.8,12.4552440643,307.322357178,10.7629032135,28700178.0,100.0,20.0,100.0,20.0,20.0
287.2,-17.8,15.1271390915,307.179229736,12.8200025558,28720178.0,100.0,20.0,100.0,20.0,20.0
287.4,-17.8,18.2891864777,307.169067383,14.9545688629,28740178.0,100.0,20.0,100.0,20.0,20.0
287.6,-17.8,21.9651527405,307.306091309,17.0512828827,28760178.0,100.0,20.0,100.0,20.0,20.0
287.8,-17.8,26.1596908569,307.58605957,19.0171890259,28780178.0,100.0,20.0,100.0,20.0,20.0
288.0,-17.8,30.8638343811,308.037017822,20.7963180542,28800178.0,100.0,20.0,100.0,20.0,20.0
284.6,-17.6,4.53519398907,307.8552,0.0,28460176.0,100.0,20.0,100.0,20.0,20.0
284.8,-17.6,4.5951005291,307.4052,0.0,28480176.0,100.0,20.0,100.0,20.0,20.0
285.0,-17.6,4.68862864721,307.9242,0.0,28500176.0,100.0,20.0,100.0,20.0,20.0
285.2,-17.6,4.73851666667,308.9622,0.0,28520176.0,100.0,20.0,100.0,20.0,20.0
285.4,-17.6,4.76769230769,309.4812,0.0,28540176.0,100.0,20.0,100.0,20.0,20.0
285.6,-17.6,4.7891607717,310.0002,0.0,28560176.0,100.0,20.0,100.0,20.0,20.0
285.8,-17.6,4.81991166078,311.0382,0.0,28580176.0,100.0,20.0,100.0,20.0,20.0
286.0,-17.6,4.8535059761,309.6266,0.0,28600176.0,100.0,20.0,100.0,20.0,20.0
286.2,-17.6,4.88441363636,308.215,0.0,28620176.0,100.0,20.0,100.0,20.0,20.0
286.4,-17.6,9.6,308.4,8.4,28640176.0,100.0,20.0,100.0,20.0,20.0
286.6,-17.6,10.9874849319,307.909545898,9.60357570648,28660176.0,100.0,20.0,100.0,20.0,20.0
286.8,-17.6,13.4096536636,307.493713379,11.6087961197,28680176.0,100.0,20.0,100.0,20.0,20.0
287.0,-17.6,16.299993515,307.131225586,13.7651224136,28700176.0,100.0,20.0,100.0,20.0,20.0
287.2,-17.6,19.6829490662,306.868530273,15.939209938,28720176.0,100.0,20.0,100.0,20.0,20.0
287.4,-17.6,23.5636196136,306.723907471,18.0372047424,28740176.0,100.0,20.0,100.0,20.0,20.0
287.6,-17.6,27.9327430725,306.680541992,19.9908237457,28760176.0,100.0,20.0,100.0,20.0,20.0
287.8,-17.6,32.7669067383,306.721343994,21.74634552,28780176.0,100.0,20.0,100.0,20.0,20.0
288.0,-17.6,38.0329666138,306.882110596,23.2674350739,28800176.0,100.0,20.0,100.0,20.0,20.0
284.4,-17.4,4.50234501348,310.7623,0.0,28440174.0,100.0,20.0,100.0,20.0,20.0
284.6,-17.4,4.58342146597,308.8243,0.0,28460174.0,100.0,20.0,100.0,20.0,20.0
284.8,-17.4,4.66374731183,307.8552,0.0,28480174.0,100.0,20.0,100.0,20.0,20.0
285.0,-17.4,4.71529295775,307.4052,0.0,28500174.0,100.0,20.0,100.0,20.0,20.0
285.2,-17.4,4.77408433735,307.9242,0.0,28520174.0,100.0,20.0,100.0,20.0,20.0
285.4,-17.4,4.81902622951,308.9622,0.0,28540174.0,100.0,20.0,100.0,20.0,20.0
285.6,-17.4,4.85586231884,309.4812,0.0,28560174.0,100.0,20.0,100.0,20.0,20.0
285.8,-17.4,4.89343621399,310.0002,0.0,28580174.0,100.0,20.0,100.0,20.0,20.0
286.0,-17.4,4.92635849057,311.0382,0.0,28600174.0,100.0,20.0,100.0,20.0,20.0
286.2,-17.4,9.57309627533,308.789215088,8.37794208527,28620174.0,100.0,20.0,100.0,20.0,20.0
286.4,-17.4,11.7413473129,308.626586914,10.2408294678,28640174.0,100.0,20.0,100.0,20.0,20.0
286.6,-17.4,14.3766431808,308.213439941,12.3894796371,28660174.0,100.0,20.0,100.0,20.0,20.0
286.8,-17.4,17.5129127502,307.702758789,14.6342735291,28680174.0,100.0,20.0,100.0,20.0,20.0
287.0,-17.4,21.1505470276,307.239562988,16.8254394531,28700174.0,100.0,20.0,100.0,20.0,20.0
287.2,-17.4,25.2733764648,306.911346436,18.8801765442,28720174.0,100.0,20.0,100.0,20.0,20.0
287.4,-17.4,29.8606243134,306.726257324,20.7639827728,28740174.0,100.0,20.0,100.0,20.0,20.0
287.6,-17.4,34.8858833313,306.62713623,22.4529533386,28760174.0,100.0,20.0,100.0,20.0,20.0
287.8,-17.4,40.3093566895,306.555114746,23.9155826569,28780174.0,100.0,20.0,100.0,20.0,20.0
284.2,-17.2,4.40911671088,313.6694,0.0,28420172.0,100.0,20.0,100.0,20.0,20.0
284.4,-17.2,4.51700261097,311.7313,0.0,28440172.0,100.0,20.0,100.0,20.0,20.0
284.6,-17.2,4.60503783784,310.7623,0.0,28460172.0,100.0,20.0,100.0,20.0,20.0
284.8,-17.2,4.67934670487,308.8243,0.0,28480172.0,100.0,20.0,100.0,20.0,20.0
285.0,-17.2,4.7404601227,307.8552,0.0,28500172.0,100.0,20.0,100.0,20.0,20.0
285.2,-17.2,4.81597288136,307.4052,0.0,28520172.0,100.0,20.0,100.0,20.0,20.0
285.4,-17.2,4.87564285714,307.9242,0.0,28540172.0,100.0,20.0,100.0,20.0,20.0
285.6,-17.2,4.94112340426,308.9622,0.0,28560172.0,100.0,20.0,100.0,20.0,20.0
285.8,-17.2,4.9985320197,309.4812,0.0,28580172.0,100.0,20.0,100.0,20.0,20.0
286.0,-17.2,10.1893320084,308.499359131,8.88763332367,28600172.0,100.0,20.0,100.0,20.0,20.0
286.2,-17.2,12.4939565659,308.738677979,10.8911886215,28620172.0,100.0,20.0,100.0,20.0,20.0
286.4,-17.2,15.3228473663,308.68347168,13.1612997055,28640172.0,100.0,20.0,100.0,20.0,20.0
286.6,-17.2,18.7023277283,308.335449219,15.4787187576,28660172.0,100.0,20.0,100.0,20.0,20.0
286.8,-17.2,22.6069736481,307.844482422,17.6647071838,28680172.0,100.0,20.0,100.0,20.0,20.0
287.0,-17.2,26.9875469208,307.398406982,19.6303424835,28700172.0,100.0,20.0,100.0,20.0,20.0
287.2,-17.2,31.7994728088,307.125305176,21.3675098419,28720172.0,100.0,20.0,100.0,20.0,20.0
287.4,-17.2,37.0123176575,307.034637451,22.8978538513,28740172.0,100.0,20.0,100.0,20.0,20.0
287.6,-17.2,42.5970649719,307.031555176,24.2256164551,28760172.0,100.0,20.0,100.0,20.0,20.0
288.0,-17.2,54.6758155823,306.895446777,26.1779766083,28800172.0,100.0,20.0,100.0,21.0,32.0
284.0,-17.0,4.27067894737,314.6384,0.0,28400170.0,100.0,20.0,100.0,20.0,20.0
284.2,-17.0,4.40940641711,314.6384,0.0,28420170.0,100.0,20.0,100.0,20.0,20.0
284.4,-17.0,4.51392307692,312.7003,0.0,28440170.0,100.0,20.0,100.0,20.0,20.0
284.6,-17.0,4.60629069767,311.7313,0.0,28460170.0,100.0,20.0,100.0,20.0,20.0
284.8,-17.0,4.69054807692,309.7933,0.0,28480170.0,100.0,20.0,100.0,20.0,20.0
285.0,-17.0,4.76496527778,308.8243,0.0,28500170.0,100.0,20.0,100.0,20.0,20.0
285.2,-17.0,4.85545454545,306.8862,0.0,28520170.0,100.0,20.0,100.0,20.0,20.0
285.4,-17.0,4.94336888889,307.4052,0.0,28540170.0,100.0,20.0,100.0,20.0,20.0
285.6,-17.0,9.4,307.9,8.2,28560170.0,100.0,20.0,100.0,20.0,20.0
285.8,-17.0,10.8923997879,307.853424072,9.53600788116,28580170.0,100.0,20.0,100.0,20.0,20.0
286.0,-17.0,13.3304862976,308.04486084,11.6555604935,28600170.0,100.0,20.0,100.0,20.0,20.0
286.2,-17.0,16.3228492737,308.27154541,14.0186100006,28620170.0,100.0,20.0,100.0,20.0,20.0
286.4,-17.0,19.9085788727,308.292816162,16.3908081055,28640170.0,100.0,20.0,100.0,20.0,20.0
286.6,-17.0,24.0555667877,308.06237793,18.5590171814,28660170.0,100.0,20.0,100.0,20.0,20.0
286.8,-17.0,28.6840496063,307.705780029,20.4059581757,28680170.0,100.0,20.0,100.0,20.0,20.0
287.0,-17.0,33.7099494934,307.424499512,21.9285488129,28700170.0,100.0,20.0,100.0,20.0,20.0
287.2,-17.0,39.0784072876,307.36932373,23.1919937134,28720170.0,100.0,20.0,100.0,20.0,20.0
287.4,-17.0,44.7654075623,307.546325684,24.2609348297,28740170.0,100.0,20.0,100.0,20.0,20.0
287.6,-17.0,50.7521286011,307.821990967,25.1587486267,28760170.0,100.0,20.0,100.0,21.0,32.0
287.8,-17.0,56.9979476929,308.020263672,25.8748664856,28780170.0,100.0,20.0,100.0,21.5,38.0
288.0,-17.0,63.4331054688,308.018859863,26.3925590515,28800170.0,100.0,20.0,100.0,22.5,50.0
283.8,-16.8,4.06677572559,315.2127,0.0,28380168.0,100.0,20.0,100.0,20.0,20.0
284.0,-16.8,4.2343,314.8298,0.0,28400168.0,100.0,20.0,100.0,20.0,20.0
284.2,-16.8,4.37607002801,314.6384,0.0,28420168.0,100.0,20.0,100.0,20.0,20.0
284.4,-16.8,4.49969642857,314.6384,0.0,28440168.0,100.0,20.0,100.0,20.0,20.0
284.6,-16.8,4.60964820847,312.7003,0.0,28460168.0,100.0,20.0,100.0,20.0,20.0
284.8,-16.8,4.70497857143,311.7313,0.0,28480168.0,100.0,20.0,100.0,20.0,20.0
285.0,-16.8,4.79551405622,309.7933,0.0,28500168.0,100.0,20.0,100.0,20.0,20.0
285.2,-16.8,4.88684433962,308.8243,0.0,28520168.0,100.0,20.0,100.0,20.0,20.0
285.4,-16.8,9.51791858673,308.623901367,8.48179244995,28540168.0,100.0,20.0,100.0,20.0,20.0
285.6,-16.8,11.6888551712,307.780090332,10.3479232788,28560168.0,100.0,20.0,100.0,20.0,20.0
285.8,-16.8,14.3143501282,307.420928955,12.5829744339,28580168.0,100.0,20.0,100.0,20.0,20.0
286.0,-16.8,17.4882602692,307.426757812,15.0124731064,28600168.0,100.0,20.0,100.0,20.0,20.0
286.2,-16.8,21.2593517303,307.54901123,17.4105205536,28620168.0,100.0,20.0,100.0,20.0,20.0
286.4,-16.8,25.6070995331,307.576507568,19.5492687225,28640168.0,100.0,20.0,100.0,20.0,20.0
286.6,-16.8,30.4438037872,307.450317383,21.2745342255,28660168.0,100.0,20.0,100.0,20.0,20.0
286.8,-16.8,35.6516189575,307.283752441,22.5560894012,28680168.0,100.0,20.0,100.0,20.0,20.0
287.0,-16.8,41.134147644,307.284851074,23.4738769531,28700168.0,100.0,20.0,100.0,20.0,20.0
287.2,-16.8,46.8473777771,307.614044189,24.1524772644,28720168.0,100.0,20.0,100.0,20.0,20.0
287.4,-16.8,52.7906761169,308.263427734,24.6930656433,28740168.0,100.0,20.0,100.0,21.0,32.0
287.6,-16.8,58.9707756042,309.048309326,25.144323349,28760168.0,100.0,20.0,100.0,21.75,41.0
287.8,-16.8,65.369644165,309.711181641,25.517168045,28780168.0,100.0,20.0,100.0,22.75,53.0
288.0,-16.8,71.9351272583,310.03338623,25.8113555908,28800168.0,100.0,20.0,100.0,23.75,65.0
283.4,-16.6,3.68011731844,315.9784,0.0,28340166.0,100.0,20.0,100.0,20.0,20.0
283.6,-16.6,3.83391466667,315.5956,0.0,28360166.0,100.0,20.0,100.0,20.0,20.0
283.8,-16.6,4.01754545455,315.4041,0.0,28380166.0,100.0,20.0,100.0,20.0,20.0
284.0,-16.6,4.1721299435,315.2127,0.0,28400166.0,100.0,20.0,100.0,20.0,20.0
284.2,-16.6,4.3203088685,314.8298,0.0,28420166.0,100.0,20.0,100.0,20.0,20.0
284.4,-16.6,4.44775250836,314.6384,0.0,28440166.0,100.0,20.0,100.0,20.0,20.0
284.6,-16.6,4.57912734082,313.6694,0.0,28460166.0,100.0,20.0,100.0,20.0,20.0
284.8,-16.6,4.72580672269,312.7003,0.0,28480166.0,100.0,20.0,100.0,20.0,20.0
285.0,-16.6,4.83711764706,310.7623,0.0,28500166.0,100.0,20.0,100.0,20.0,20.0
285.2,-16.6,10.1069583893,309.671539307,9.18794155121,28520166.0,100.0,20.0,100.0,20.0,20.0
285.4,-16.6,12.519618988,308.482543945,11.2598323822,28540166.0,100.0,20.0,100.0,20.0,20.0
285.6,-16.6,15.4097623825,307.584686279,13.6281194687,28560166.0,100.0,20.0,100.0,20.0,20.0
285.8,-16.6,18.8372879028,307.064178467,16.109079361,28580166.0,100.0,20.0,100.0,20.0,20.0
286.0,-16.6,22.8319015503,306.868377686,18.4928035736,28600166.0,100.0,20.0,100.0,20.0,20.0
286.2,-16.6,27.3748569489,306.835998535,20.5673961639,28620166.0,100.0,20.0,100.0,20.0,20.0
286.4,-16.6,32.3853530884,306.807373047,22.1664047241,28640166.0,100.0,20.0,100.0,20.0,20.0
286.6,-16.6,37.7341308594,306.741943359,23.2222099304,28660166.0,100.0,20.0,100.0,20.0,20.0
286.8,-16.6,43.2885971069,306.766723633,23.7878608704,28680166.0,100.0,20.0,100.0,20.0,20.0
287.0,-16.6,48.9646949768,307.115661621,24.0072956085,28700166.0,100.0,20.0,100.0,20.0,20.0
287.2,-16.6,54.7504844666,307.975769043,24.0519142151,28720166.0,100.0,20.0,100.0,21.0,32.0
287.4,-16.6,60.6875267029,309.331604004,24.0638866425,28740166.0,100.0,20.0,100.0,22.0,44.0
